,Island Name
L,Fushi
L,Gaadhoo
L,Gahagan'dufinolhu
L,Guraidhoo
L,Haiythoshi
L,Hanhushi
L,Hendha
L,Hikan'dhirahaa
L,Holhurahaa
L,Hulhimendhoo
L,Hulhiyandhoo
L,Hulhisdhoo
L,Boduhuraa (Fonadhoo Falhuthere)
L,Kahdhoo
L,Kalhaidhoo
L,Kalhurahaa
L,Kandaru
L,Kanuhuraa
L,Kashidhoo
L,Kokurahaa
L,Kuda munyafushi
L,Kudafares
L,Kudafenrehaa
L,Kudafushi
L,Kudamaabulhali
L,Kudarah
L,Kudaveshi
L,Kuredhirehaa
L,Maafushi
L,Maakalhuveli
L,Maandhoo
L,Maaveshi
L,Mahakanfushi
L,Medhu vinagan'du
L,Mendhoo
L,Olhutholhu
L,Rahaa
L,Thathunrahaa
L,Thun'buri
L,Uthuru vinagan'du
L,Uvadhevifushi
L,Vadinolhu
L,Veligan'dufinolhu
L,Dhekunuvinagan'du
Lh,Hinnavaru
Lh,Kurendhoo
Lh,Maafilaafushi
Lh,Naifaru
Lh,Olhuvelifushi
Lh,Kanifushi
Lh,Ookolhu Finolhu
Lh,Fushifaru
Lh,Hurawalhi
Lh,Innahuraa
Lh,Kanuhuraa
Lh,Komandoo
Lh,Kudadhoo
Lh,Kurehdhoo
Lh,Madhiriguraidhu
Lh,Kooddoo
Lh,Thilamaafushi
Lh,Mabinhura
Lh,Aligaa
Lh,Boamandhipparu huraagan'du
Lh,Bodufinolhu
Lh,Bodugaahuraa
Lh,Dhashugirifinolhu
Lh,Dheruffinolhu
Lh,Dhihdhoo
Lh,Dhiffushi
Lh,Dhirun'baahuraa
Lh,Faadhoo
Lh,Faadhoohuraagan'du
Lh,Fainu aadhanhuraa
Lh,Fehigili
Lh,Felivaru
Lh,Gaaerifaru
Lh,Govvaafushi
Lh,Hiriyaadhoo
Lh,Hudhufushi
Lh,Hurawalhi
Lh,Kalhumanjehuraa
Lh,Lhohi
Lh,Lhossalafushi
Lh,Maabinhuraaa
Lh,Maakoa
Lh,Madhiriguraidhoo
Lh,Madivaru
Lh,Maduvvari
Lh,Maidhoo
Lh,Mas leggihuraa
Lh,Medha adihuraa
Lh,Medhafushi
Lh,Meedhaahuraa
Lh,Meyyafushi
Lh,Ookolhufinolhu
Lh,Rathuruh-huraa
Lh,Sehlhifushi
Lh,Varihuraa
Lh,Vavvaru
Lh,Veligan'du
Lh,Veyvah
Lh,Vihafarufinolhu
M,Mulah
M,Dhiggaru
M,Kolhufushi
M,Madifushi
M,Maduvvaree
M,Muli
M,Naalaafushi
M,Raimmandhoo
M,Veyvah
M,Medhufushi
M,Hakuraa Huraa
M,Medhufushi
M,Boahuraa
M,Dhekunuboduveli
M,Dhihthun'di
M,Erruh-huraa
M,Fenfuraaveli
M,Gaakurali
M,Gasveli
M,Gongalihuraa
M,Hakuraahuraa
M,Hudhuveli
M,Hurasveli
M,Kekuraalhuveli
M,Kuda usfushi
M,Kuradhigan'du
M,Maa usfushi
M,Maahuraa
